"restaurant_title, restaurant_phone, restaurant_addr, restaurant_price, restaurant_category"
Fahrenheit Asian,(703) 646-8968,1313 Dolley Madison Blvd,-,Hot Pot  Ramen  Chinese
The Portofino Restaurant,(703) 979-8200,526 23rd St SCrystal City,-,Italian  Soup  Seafood
Le Diplomate,(202) 332-3333,1601 14th St NWLogan Circle,$$$,   Brasseries  French  Breakfast   Brunch
Gypsy Kitchen,(202) 894-6015,1825 14th St NW,-,Tapas Small Plates  Mediterranean
Maydan,1346 Florida A,ve NW,$$,  Moroccan  Lebanese
Mr Braxton Bar & Kitchen,(202) 882-4555,3632 Georgia Ave NWPark View,$$,  American  New   Cocktail Bars
Butter Me Up,(202) 986-2127,651 Florida Ave,-,Breakfast   Brunch
Reren,(202) 290-3677,817 7th St NWChinatown,$$,  Ramen  Asian Fusion
The Smith,(202) 868-4900,901 F St NWPenn Quarter,$$,  American  New   Breakfast   Brunch  Cocktail Bars
The Pig,(202) 290-2821,1320 14th St NWLogan Circle,$$,  Barbeque  American  New   Whiskey Bars
Tiger Fork,(202) 733-1152,922 N St NWShaw,$$,  Chinese  Hong Kong Style Cafe  Cocktail Bars
Unconventional Diner,(202) 847-0122,1207 9th St NWShaw,$$,  American  New   Breakfast   Brunch
City Kabob & Curry House- Arlington,(571) 257-8816,3007 Columbia PikeColumbia Heights,-,Pakistani  Halal  Indian
